season,region,seed,team
2026,East,1,Creighton
2026,East,2,Baylor
2026,East,3,Pittsburgh
2026,East,4,Colorado State
2026,East,5,Kansas
2026,East,6,Tennessee
2026,East,7,Howard
2026,East,8,Marquette
2026,East,9,Wagner
2026,East,10,Princeton
2026,East,11,Xavier
2026,East,12,Providence
2026,East,13,North Carolina
2026,East,14,Morehead State
2026,East,15,Miami FL
2026,East,16,Texas Tech
2026,West,1,Illinois
2026,West,2,Memphis
2026,West,3,Clemson
2026,West,4,Longwood
2026,West,5,Purdue
2026,West,6,Alabama
2026,West,7,Vermont
2026,West,8,Oregon
2026,West,9,Utah State
2026,West,10,Seton Hall
2026,West,11,Montana State
2026,West,12,Mississippi State
2026,West,13,Arizona
2026,West,14,Samford
2026,West,15,Gonzaga
2026,West,16,Stetson
2026,South,1,Duke
2026,South,2,Iowa State
2026,South,3,New Mexico
2026,South,4,Texas
2026,South,5,Connecticut
2026,South,6,Michigan
2026,South,7,Auburn
2026,South,8,South Carolina
2026,South,9,Kentucky
2026,South,10,Dayton
2026,South,11,Boise State
2026,South,12,Villanova
2026,South,13,Saint Marys CA
2026,South,14,Virginia
2026,South,15,Wisconsin
2026,South,16,Colorado
2026,Midwest,1,Florida
2026,Midwest,2,Michigan State
2026,Midwest,3,San Diego State
2026,Midwest,4,Nevada
2026,Midwest,5,Oakland
2026,Midwest,6,McNeese State
2026,Midwest,7,BYU
2026,Midwest,8,Indiana
2026,Midwest,9,James Madison
2026,Midwest,10,Oklahoma
2026,Midwest,11,Drake
2026,Midwest,12,Northwestern
2026,Midwest,13,Ohio State
2026,Midwest,14,TCU
2026,Midwest,15,Houston
2026,Midwest,16,Colgate
