team,q1_wins,q1_losses,q1_win_pct,q1_games
Abilene Christian,0,1,0.0,1
Air Force,2,2,0.5,4
Akron,0,1,0.0,1
Alabama,9,10,0.474,19
Alabama A&M,9,10,0.474,19
Alabama State,9,10,0.474,19
Albany,0,1,0.0,1
Alcorn State,0,2,0.0,2
American,0,1,0.0,1
Arizona,12,8,0.6,20
Arizona State,12,8,0.6,20
Arkansas,9,9,0.5,18
Arkansas State,9,9,0.5,18
Arkansas-Pine Bluff,0,1,0.0,1
Army,0,1,0.0,1
Auburn,2,7,0.222,9
Austin Peay,3,0,1.0,3
Baylor,0,8,0.0,8
Belmont,1,0,1.0,1
Bethune-Cookman,2,1,0.667,3
Boston College,0,3,0.0,3
Boston University,0,3,0.0,3
Bowling Green,1,0,1.0,1
Buffalo,0,6,0.0,6
Cal Poly,2,4,0.333,6
Cal State Bakersfield,2,4,0.333,6
Cal State Fullerton,2,4,0.333,6
Cal State Northridge,2,4,0.333,6
California,1,3,0.25,4
California Baptist,1,3,0.25,4
Campbell,1,1,0.5,2
Central Arkansas,1,4,0.2,5
Central Connecticut State,1,4,0.2,5
Central Michigan,1,4,0.2,5
Charleston Southern,1,0,1.0,1
Chicago State,0,3,0.0,3
Cincinnati,2,5,0.286,7
Clemson,1,4,0.2,5
Coastal Carolina,1,0,1.0,1
Colgate,0,3,0.0,3
College of Charleston,0,3,0.0,3
Colorado,0,7,0.0,7
Colorado State,0,7,0.0,7
Coppin State,0,1,0.0,1
Cornell,0,2,0.0,2
Creighton,0,2,0.0,2
Dartmouth,0,1,0.0,1
Davidson,0,2,0.0,2
Dayton,1,1,0.5,2
Delaware,1,0,1.0,1
Delaware State,1,0,1.0,1
Denver,0,2,0.0,2
Detroit Mercy,0,1,0.0,1
Drexel,1,0,1.0,1
Duke,12,6,0.667,18
Duquesne,0,2,0.0,2
East Carolina,1,9,0.1,10
East Tennessee State,1,9,0.1,10
East Texas A&M,1,9,0.1,10
Eastern Illinois,0,5,0.0,5
Eastern Kentucky,0,5,0.0,5
Eastern Michigan,0,5,0.0,5
Eastern Washington,0,5,0.0,5
Evansville,0,3,0.0,3
Fairfield,0,1,0.0,1
Florida,10,15,0.4,25
Florida A&M,10,15,0.4,25
Florida Atlantic,10,15,0.4,25
Florida Gulf Coast,10,15,0.4,25
Florida International,10,15,0.4,25
Florida State,10,15,0.4,25
Fresno State,0,1,0.0,1
Gardner-Webb,0,1,0.0,1
George Mason,1,3,0.25,4
George Washington,1,3,0.25,4
Georgetown,0,1,0.0,1
Georgia,2,11,0.154,13
Georgia Southern,2,11,0.154,13
Georgia State,2,11,0.154,13
Georgia Tech,2,11,0.154,13
Gonzaga,5,2,0.714,7
Grambling,0,2,0.0,2
Grand Canyon,0,2,0.0,2
Green Bay,4,2,0.667,6
Hampton,1,0,1.0,1
High Point,0,4,0.0,4
Hofstra,0,1,0.0,1
Houston,8,7,0.533,15
Houston Christian,8,7,0.533,15
Howard,0,1,0.0,1
Illinois,8,6,0.571,14
Illinois State,8,6,0.571,14
Incarnate Word,0,1,0.0,1
Indiana,3,13,0.188,16
Indiana State,3,13,0.188,16
Iona,0,3,0.0,3
Iowa,10,10,0.5,20
Iowa State,10,10,0.5,20
IU Indy,1,3,0.25,4
Jackson State,1,6,0.143,7
Jacksonville,0,1,0.0,1
Jacksonville State,0,1,0.0,1
James Madison,0,2,0.0,2
