player,from_team,to_team,position,stars,note
Cooper Flagg,—,Duke,F,5,Freshman — #1 recruit
Kasparas Jakucionis,—,Illinois,G,5,Freshman — top-5 recruit
Ace Bailey,—,Rutgers,F,5,Freshman — #2 recruit
Dylan Harper,—,Rutgers,G,5,Freshman — #3 recruit
Tre Johnson,—,Texas,G,5,Freshman — #4 recruit
Isaiah Evans,—,Duke,G,5,Freshman — top-10
VJ Edgecombe,—,Baylor,G,5,Freshman — top-10
Nolan Traore,—,Saint Mary's,G,5,French freshman
Walter Clayton Jr.,Florida,Florida,G,4,5th-year return
Johni Broome,Auburn,Auburn,F,4,Returned — preseason POY
RJ Davis,North Carolina,North Carolina,G,4,5th year return
Ryan Kalkbrenner,Creighton,Creighton,C,4,Returned senior
John Tonje,Wisconsin,Wisconsin,G,4,Transfer from Colorado St.
Hunter Sallis,Gonzaga,Gonzaga,G,4,Returned
Eric Dixon,Villanova,Villanova,F,4,Super-senior
Liam McNeeley,—,Connecticut,F,5,Freshman
Kon Knueppel,—,Duke,G,5,Freshman
Derik Queen,—,Maryland,F,5,Freshman
Cameron Boozer,—,Duke,F,5,Freshman
Caleb Wilson,California,UCLA,F,4,Transfer
Chris Cenac Jr.,Houston,Houston,F,4,Returned
Otega Oweh,Oklahoma,Michigan,G,4,Transfer — key pickup
Danny Wolf,Michigan,Michigan,C,4,Transfer from Yale
Vladislav Goldin,TCU,Michigan,C,4,Transfer
Khaman Maluach,—,Duke,C,5,Freshman
