season,region,seed,team,contender_score
2026,East,1,Duke,70.9
2026,East,2,Connecticut,69.8
2026,East,3,Michigan State,68.2
2026,East,4,Kansas,72.2
2026,East,5,St. John's,73.0
2026,East,6,Louisville,67.4
2026,East,7,UCLA,76.2
2026,East,8,Ohio State,65.5
2026,East,9,Texas Christian,61.6
2026,East,10,Central Florida,64.6
2026,East,11,South Florida,68.8
2026,East,12,Northern Iowa,57.5
2026,East,13,California Baptist,56.8
2026,East,14,North Dakota State,60.6
2026,East,15,Furman,55.9
2026,East,16,Siena,53.6
2026,South,1,Florida,63.9
2026,South,2,Houston,77.0
2026,South,3,Illinois,71.4
2026,South,4,Nebraska,68.9
2026,South,5,Vanderbilt,75.1
2026,South,6,North Carolina,65.0
2026,South,7,Saint Mary's,64.6
2026,South,8,Clemson,64.8
2026,South,9,Iowa,66.7
2026,South,10,Texas A&M,67.0
2026,South,11,Virginia Commonwealth,69.8
2026,South,12,McNeese State,72.6
2026,South,13,Troy,53.0
2026,South,14,Pennsylvania,53.2
2026,South,15,Idaho,54.9
2026,South,16,Prairie View,38.5
2026,West,1,Arizona,72.3
2026,West,2,Purdue,70.3
2026,West,3,Gonzaga,69.8
2026,West,4,Arkansas,76.7
2026,West,5,Wisconsin,71.3
2026,West,6,Brigham Young,68.7
2026,West,7,Miami,59.8
2026,West,8,Villanova,63.3
2026,West,9,Utah State,62.6
2026,West,10,Missouri,59.2
2026,West,11,Texas,66.3
2026,West,12,High Point,61.5
2026,West,13,Hawaii,55.3
2026,West,14,Kennesaw State,44.8
2026,West,15,Queens,56.4
2026,West,16,Long Island University,53.6
2026,Midwest,1,Michigan,72.6
2026,Midwest,2,Iowa State,65.5
2026,Midwest,3,Virginia,70.3
2026,Midwest,4,Alabama,76.5
2026,Midwest,5,Texas Tech,69.7
2026,Midwest,6,Tennessee,61.3
2026,Midwest,7,Kentucky,68.8
2026,Midwest,8,Georgia,75.5
2026,Midwest,9,Saint Louis,65.2
2026,Midwest,10,Santa Clara,66.0
2026,Midwest,11,Miami OH,52.0
2026,Midwest,12,Akron,62.6
2026,Midwest,13,Hofstra,63.3
2026,Midwest,14,Wright State,56.2
2026,Midwest,15,Tennessee State,52.2
2026,Midwest,16,Howard,45.9
