event_id,date,round,region,t1,t2,winner,loser,t1_score,t2_score,model_pick,model_conf,correct,upset,winner_seed,loser_seed,winner_flags,loser_flags,winner_hot,loser_hot,narrative,t1_fg_pct,t1_fg3_pct,t1_ft_pct,t1_rebounds,t1_off_reb,t1_turnovers,t1_assists,t1_steals,t1_blocks,t1_h1,t1_h2,t2_fg_pct,t2_fg3_pct,t2_ft_pct,t2_rebounds,t2_off_reb,t2_turnovers,t2_assists,t2_steals,t2_blocks,t2_h1,t2_h2
401856434,20260317,FF4,,North Carolina State,Texas,Texas,North Carolina State,66,68,Texas,0.929,True,False,11.0,11.0,Dangerous,,,,,37.0,29.0,72.0,45.0,15.0,12.0,10.0,7.0,5.0,29.0,37.0,39.0,38.0,78.0,33.0,7.0,7.0,10.0,8.0,5.0,30.0,38.0
401856435,20260317,FF4,,Howard,UMBC Retrievers,Howard,UMBC Retrievers,86,83,Howard,0.946,True,False,16.0,16.0,,,,,,52.0,41.0,67.0,32.0,6.0,9.0,11.0,6.0,2.0,49.0,37.0,48.0,48.0,72.0,38.0,12.0,8.0,14.0,3.0,1.0,41.0,42.0
401856436,20260318,FF4,,Southern Methodist,Miami OH,Miami OH,Southern Methodist,79,89,Southern Methodist,0.5,False,False,11.0,11.0,,,,,,45.0,39.0,68.0,35.0,12.0,4.0,20.0,4.0,2.0,34.0,45.0,48.0,24.0,80.0,35.0,12.0,6.0,15.0,4.0,0.0,43.0,46.0
401856437,20260318,FF4,,Lehigh Mountain Hawks,Prairie View,Prairie View,Lehigh Mountain Hawks,55,67,Prairie View,0.822,True,False,16.0,16.0,,,,,,47.0,33.0,83.0,34.0,7.0,9.0,5.0,12.0,9.0,29.0,26.0,36.0,25.0,58.0,39.0,14.0,16.0,11.0,5.0,1.0,27.0,40.0
401856478,20260319,R64,,Duke,Siena,Duke,Siena,71,65,Duke,0.957,True,False,1.0,16.0,,,,,,38.0,35.0,100.0,31.0,11.0,6.0,15.0,5.0,2.0,32.0,39.0,41.0,19.0,86.0,43.0,16.0,8.0,11.0,3.0,3.0,43.0,22.0
401856486,20260319,R64,,Michigan,Howard,Michigan,Howard,101,80,Michigan,0.992,True,False,1.0,16.0,,,,,,43.0,48.0,71.0,23.0,7.0,8.0,14.0,3.0,0.0,50.0,51.0,67.0,46.0,80.0,35.0,4.0,10.0,27.0,4.0,8.0,46.0,34.0
401856493,20260319,R64,,Houston,Idaho,Houston,Idaho,78,47,Houston,0.982,True,False,2.0,15.0,,Underseeded,,,,29.0,20.0,60.0,32.0,7.0,9.0,8.0,5.0,5.0,48.0,30.0,50.0,53.0,73.0,47.0,8.0,7.0,10.0,8.0,1.0,24.0,23.0
401856483,20260319,R64,,Michigan State,North Dakota State,Michigan State,North Dakota State,92,67,Michigan State,0.797,True,False,3.0,14.0,,Dangerous,,,,44.0,24.0,65.0,23.0,4.0,12.0,13.0,6.0,1.0,45.0,47.0,59.0,50.0,89.0,35.0,4.0,12.0,26.0,5.0,6.0,25.0,42.0
401856491,20260319,R64,,Illinois,Pennsylvania,Illinois,Pennsylvania,105,70,Illinois,0.964,True,False,3.0,14.0,,Underseeded,,,,45.0,30.0,50.0,25.0,7.0,8.0,13.0,2.0,3.0,40.0,65.0,50.0,42.0,76.0,48.0,20.0,3.0,15.0,2.0,2.0,30.0,40.0
401856485,20260319,R64,,Gonzaga,Kennesaw State,Gonzaga,Kennesaw State,73,64,Gonzaga,0.989,True,False,3.0,14.0,,,,,,36.0,18.0,73.0,34.0,11.0,11.0,7.0,9.0,4.0,33.0,40.0,40.0,17.0,87.0,45.0,16.0,10.0,17.0,7.0,5.0,27.0,37.0
401856489,20260319,R64,,Nebraska,Troy,Nebraska,Troy,76,47,Nebraska,0.946,True,False,4.0,13.0,,Underseeded,,,,28.0,29.0,93.0,33.0,9.0,17.0,11.0,5.0,2.0,41.0,35.0,43.0,36.0,100.0,37.0,13.0,6.0,20.0,10.0,1.0,25.0,22.0
401856481,20260319,R64,,Arkansas,Hawaii,Arkansas,Hawaii,97,78,Arkansas,0.979,True,False,4.0,13.0,,Dangerous,,,,45.0,33.0,55.0,31.0,11.0,12.0,15.0,5.0,2.0,54.0,43.0,54.0,19.0,88.0,41.0,12.0,10.0,26.0,8.0,5.0,36.0,42.0
401856480,20260319,R64,,Wisconsin,High Point,High Point,Wisconsin,82,83,Wisconsin,0.854,False,True,12.0,5.0,Dangerous,Dangerous,,,,42.0,38.0,67.0,40.0,13.0,6.0,18.0,6.0,5.0,41.0,41.0,48.0,39.0,92.0,37.0,6.0,10.0,17.0,2.0,4.0,39.0,44.0
401856488,20260319,R64,,Vanderbilt,McNeese State,Vanderbilt,McNeese State,78,68,Vanderbilt,0.611,True,False,5.0,12.0,,Dangerous,,,,36.0,35.0,100.0,34.0,16.0,6.0,11.0,9.0,5.0,38.0,40.0,51.0,38.0,85.0,37.0,9.0,13.0,15.0,3.0,3.0,35.0,33.0
401856482,20260319,R64,,Louisville,South Florida,Louisville,South Florida,83,79,South Florida,0.563,False,False,6.0,11.0,,Dangerous,,,,39.0,15.0,88.0,37.0,18.0,9.0,14.0,15.0,3.0,37.0,46.0,54.0,52.0,56.0,41.0,11.0,22.0,17.0,5.0,3.0,27.0,52.0
401856490,20260319,R64,,North Carolina,Virginia Commonwealth,Virginia Commonwealth,North Carolina,78,82,Virginia Commonwealth,0.703,True,True,11.0,6.0,Dangerous,Dangerous,,,,45.0,42.0,69.0,39.0,7.0,10.0,12.0,5.0,5.0,39.0,36.0,41.0,28.0,60.0,44.0,11.0,8.0,18.0,8.0,1.0,28.0,47.0
401856484,20260319,R64,,Brigham Young,Texas,Texas,Brigham Young,71,79,Brigham Young,0.606,False,True,11.0,6.0,Dangerous,Dangerous,,,,47.0,36.0,50.0,40.0,16.0,9.0,14.0,6.0,5.0,37.0,34.0,43.0,18.0,79.0,31.0,8.0,7.0,6.0,6.0,4.0,46.0,33.0
401856492,20260319,R64,,Saint Mary's,Texas A&M,Texas A&M,Saint Mary's,50,63,Texas A&M,0.606,True,False,10.0,7.0,Dangerous,Dangerous,,,,44.0,35.0,69.0,31.0,9.0,10.0,15.0,12.0,1.0,26.0,24.0,38.0,43.0,36.0,32.0,11.0,18.0,8.0,5.0,3.0,37.0,26.0
401856479,20260319,R64,,Ohio State,Texas Christian,Texas Christian,Ohio State,64,66,Ohio State,0.669,False,False,9.0,8.0,Dangerous,Dangerous,,,,40.0,39.0,64.0,38.0,12.0,7.0,12.0,4.0,4.0,24.0,40.0,42.0,26.0,91.0,32.0,6.0,7.0,18.0,4.0,3.0,39.0,27.0
401856487,20260319,R64,,Georgia,Saint Louis,Saint Louis,Georgia,77,102,Georgia,0.865,False,False,9.0,8.0,Dangerous,Dangerous,,,,58.0,32.0,82.0,47.0,11.0,13.0,27.0,8.0,6.0,32.0,45.0,35.0,26.0,65.0,36.0,15.0,11.0,9.0,9.0,4.0,49.0,53.0
401856529,20260320,R64,,Arizona,Long Island University,Arizona,Long Island University,92,58,Arizona,0.967,True,False,1.0,16.0,,,,,,32.0,30.0,60.0,31.0,12.0,11.0,15.0,6.0,5.0,53.0,39.0,53.0,46.0,67.0,52.0,16.0,10.0,16.0,4.0,10.0,29.0,29.0
401856523,20260320,R64,,Florida,Prairie View,Florida,Prairie View,114,55,Florida,0.99,True,False,1.0,16.0,,,,,,27.0,27.0,88.0,20.0,9.0,7.0,6.0,3.0,3.0,60.0,54.0,64.0,45.0,78.0,54.0,16.0,7.0,29.0,4.0,7.0,21.0,34.0
401856524,20260320,R64,,Iowa State,Tennessee State,Iowa State,Tennessee State,108,74,Iowa State,0.916,True,False,2.0,15.0,,,,,,43.0,24.0,68.0,29.0,11.0,16.0,14.0,8.0,9.0,55.0,53.0,53.0,46.0,78.0,43.0,18.0,11.0,24.0,9.0,5.0,29.0,45.0
