season,team,conference,wins,win_pct,losses,adj_margin,strength_of_schedule,points_per_game,points_allowed_per_game,ft_pct,three_pt_pct,three_pa_rate,ft_rate,off_rebound_pct,def_rebound_pct,turnover_pct,adj_offense,adj_defense,coach,coach_years_at_school,coach_ncaa_games,coach_sweet16s,coach_finalfours,road_wins,road_losses,neutral_wins,neutral_losses,net_rank,quad1_wins,quad2_wins,tempo,opp_turnover_pct,opp_three_pt_pct,close_game_record,last10_win_pct,last10_adj_margin,avg_age,underclass_minutes_pct,freshman_minutes_pct,freshman_guard_minutes_pct,sophomore_minutes_pct,junior_minutes_pct,senior_minutes_pct,returning_starters,returning_minutes_pct,primary_guard_experience_score,backcourt_experience_score,frontcourt_experience_score,bench_minutes_pct,bench_points_pct,injury_flag,star_player_flag,chicago_guard_count,nyc_guard_count,indiana_guard_count,texas_big_count,southern_big_count,west_coast_wing_count,local_site_player_count,host_state_player_count,adj_offense_pctile,adj_defense_pctile,adj_margin_pctile,turnover_pct_pctile,off_rebound_pct_pctile,def_rebound_pct_pctile,ft_pct_pctile,scoring_balance,neutral_win_pct,road_win_pct,road_neutral_win_pct,defense_score,efficiency_score,guard_play_score,clutch_score,rebounding_score,region_bias_score,consistency_score,committee_alignment_score,model_vs_committee_gap,cinderella_score,first_year_coach_flag,foul_dependence,pbp_composite,contender_score,upset_risk_score,expected_round,predicted_seed_line,slow_paced,fast_paced,title_darkhorse_flag,fraud_favorite_flag,dangerous_low_seed_flag,underseeded_flag,overseeded_flag,cinderella_flag,high_foul_dependence_flag,archetype,vuln_tags,strength_tags,explanation_summary
2026,Abilene Christian,5,14,0.424,19.0,-7.18,-1.25,70.3,72.4,70.39999999999999,31.3,18.3,22.5,11.2,20.5,14.3,69.9,72.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.68493150684931,38.63013698630137,69.31506849315069,96.57534246575342,39.45205479452055,99.04109589041096,70.13698630136986,,0.5,0.5,0.5,39.7,45.3,30.8,37.4,34.0,50.1,30.6,38.9,6.4,23.8,0,22.5,50.0,38.9,61.5,R64,9,False,False,False,False,False,False,False,False,True,Solid Tournament Team,🧊 Shooter's curse — one cold night from three and they can't adjust,,"Abilene Christian profiles as a Solid Tournament Team with a contender score of 38.9/100. Watch out for: poor clutch metrics, defensive vulnerability. Model projects R64 exit."
2026,Air Force,0,3,0.094,29.0,-13.66,4.68,61.5,79.9,64.1,30.6,21.4,17.9,7.0,22.1,14.8,62.9,78.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.98630136986301,81.36986301369863,88.4931506849315,97.94520547945206,98.08219178082192,91.91780821917808,99.86301369863013,,0.5,0.5,0.5,26.1,42.3,24.1,29.2,6.3,50.1,7.3,27.3,15.0,10.2,0,17.9,50.0,28.3,70.5,R64,10,False,False,False,False,False,True,False,False,False,Solid Tournament Team,🔓 Below-average defense — can be carved up by quality offenses | 🧊 Shooter's curse — one cold night from three and they can't adjust,🔒 Defense travels — elite on any neutral floor,"Air Force profiles as a Solid Tournament Team with a contender score of 28.3/100. Watch out for: poor clutch metrics, defensive vulnerability. Model projects R64 exit."
2026,Akron,17,29,0.853,5.0,9.04,-3.33,88.4,73.5,75.4,37.9,28.8,17.7,11.4,26.7,10.9,87.4,74.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.342465753424658,53.83561643835616,22.19178082191781,34.794520547945204,34.24657534246575,12.465753424657535,17.397260273972602,,0.5,0.5,0.5,57.9,56.9,65.0,61.3,76.1,50.1,86.1,71.1,-14.2,69.4,0,17.7,50.0,63.3,37.8,Elite 8,4,False,False,False,False,True,False,False,False,False,Pace-and-Space Gunners,,🪤 Trap the glass — extra possessions every single game | 📐 Consistent — no random bad nights; you know what you're getting,"Akron profiles as a Pace-and-Space Gunners with a contender score of 63.3/100. Key strengths: strong guard play, dominant rebounding. Model projects Elite 8 exit. [DANGEROUS LOW SEED]"
2026,Alabama,13,23,0.719,9.0,22.7,14.45,91.7,83.5,76.5,35.8,35.3,24.5,12.2,28.4,9.8,96.0,79.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.273972602739726,85.2054794520548,3.8356164383561646,9.726027397260275,20.273972602739725,2.6027397260273974,11.095890410958905,,0.5,0.5,0.5,51.4,71.4,70.9,67.0,89.5,50.1,93.0,87.2,-15.8,72.5,0,24.5,50.0,70.1,32.0,Final Four,2,False,False,True,False,True,False,False,False,True,Veteran Control,,🔒 Defense travels — elite on any neutral floor | 🧠 Veteran guards — calmness is contagious in March | 💪 Proven in close games — knows how to finish,"Alabama profiles as a Veteran Control with a contender score of 70.1/100. Key strengths: strong guard play, clutch performance, dominant rebounding. Model projects Final Four exit. [DARKHORSE ALERT | DANGEROUS LOW SEED]"
2026,Alabama A&M,10,18,0.545,15.0,-12.99,-10.49,72.1,72.5,73.8,34.7,18.7,24.5,9.4,24.7,11.4,69.0,75.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.6986301369863,62.6027397260274,86.57534246575342,48.08219178082192,82.05479452054794,44.52054794520548,36.986301369863014,,0.5,0.5,0.5,47.1,32.0,54.3,54.0,30.5,50.1,30.5,27.8,4.2,55.8,0,24.5,50.0,40.8,55.6,R32,10,False,False,False,False,False,False,False,False,True,Solid Tournament Team,,🔒 Defense travels — elite on any neutral floor,Alabama A&M profiles as a Solid Tournament Team with a contender score of 40.8/100. Model projects R32 exit.
2026,Alabama State,7,10,0.313,22.0,-14.21,-8.14,73.2,77.3,69.39999999999999,31.9,23.3,21.4,12.5,23.7,13.1,70.8,79.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.53424657534246,88.08219178082192,90.27397260273973,88.08219178082192,13.972602739726028,67.12328767123287,76.98630136986301,,0.5,0.5,0.5,29.7,32.0,32.2,36.9,52.4,50.1,10.5,16.5,15.5,19.7,0,21.4,50.0,32.6,69.0,R64,12,False,False,False,False,False,True,False,False,False,Solid Tournament Team,🔓 Below-average defense — can be carved up by quality offenses | 🧊 Shooter's curse — one cold night from three and they can't adjust,🔒 Defense travels — elite on any neutral floor,"Alabama State profiles as a Solid Tournament Team with a contender score of 32.6/100. Watch out for: poor clutch metrics, defensive vulnerability. Model projects R64 exit."
2026,Albany,7,11,0.344,21.0,-13.92,-8.09,72.0,72.9,66.10000000000001,33.5,21.9,14.3,11.2,23.1,12.2,69.6,75.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.5068493150685,59.589041095890416,89.04109589041096,70.68493150684931,39.45205479452055,80.0,96.84931506849314,,0.5,0.5,0.5,38.8,32.5,35.0,34.4,36.7,50.1,13.3,18.2,14.3,21.7,0,14.3,50.0,33.3,67.1,R64,12,False,False,False,False,False,False,False,False,False,Solid Tournament Team,,🔒 Defense travels — elite on any neutral floor,"Albany profiles as a Solid Tournament Team with a contender score of 33.3/100. Watch out for: poor clutch metrics, defensive vulnerability. Model projects R64 exit."
2026,Alcorn State,7,9,0.281,23.0,-19.82,-6.54,66.9,80.2,70.8,33.300000000000004,19.1,18.1,9.4,20.8,13.6,64.9,82.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.79452054794521,94.79452054794521,97.80821917808218,92.6027397260274,82.05479452054794,97.26027397260275,65.75342465753424,,0.5,0.5,0.5,20.8,31.3,35.4,39.2,9.7,50.1,4.4,14.4,16.9,20.6,0,18.1,50.0,26.4,70.4,R64,12,False,False,False,False,False,True,False,False,False,Solid Tournament Team,🔓 Below-average defense — can be carved up by quality offenses,🔒 Defense travels — elite on any neutral floor,"Alcorn State profiles as a Solid Tournament Team with a contender score of 26.4/100. Watch out for: poor clutch metrics, defensive vulnerability. Model projects R64 exit."
2026,American,9,16,0.5,16.0,-6.91,-6.21,74.6,71.3,75.1,33.300000000000004,27.0,17.2,9.7,22.1,10.6,72.7,73.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.84931506849315,42.054794520547944,68.21917808219177,26.027397260273972,77.12328767123287,91.91780821917808,20.684931506849317,,0.5,0.5,0.5,47.0,40.3,61.1,61.8,19.8,50.1,37.3,35.4,4.9,67.5,0,17.2,50.0,44.9,49.5,R32,9,False,False,False,False,False,False,False,False,False,Solid Tournament Team,,,American profiles as a Solid Tournament Team with a contender score of 44.9/100. Model projects R32 exit.
2026,Appalachian State,11,19,0.594,13.0,-3.77,-5.67,72.0,66.1,64.2,30.3,26.2,22.0,12.2,26.9,9.9,70.3,67.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.63013698630137,11.506849315068493,56.16438356164384,10.821917808219178,20.273972602739725,10.0,99.45205479452055,,0.5,0.5,0.5,75.6,44.5,45.7,43.3,76.4,50.1,53.3,46.3,-1.8,54.7,0,22.0,50.0,55.0,48.6,Sweet 16,8,False,False,False,False,True,False,False,False,False,Glass & Paint,🧊 Shooter's curse — one cold night from three and they can't adjust,🔒 Defense travels — elite on any neutral floor | 🪤 Trap the glass — extra possessions every single game,"Appalachian State profiles as a Glass & Paint with a contender score of 55.0/100. Key strengths: elite defense, dominant rebounding. Model projects Sweet 16 exit. [DANGEROUS LOW SEED]"
