season,team,conference,wins,losses,win_pct,adj_margin,strength_of_schedule,points_per_game,points_allowed_per_game,ft_pct,three_pt_pct,three_pa_rate,ft_rate,off_rebound_pct,def_rebound_pct,turnover_pct,adj_offense,adj_defense,coach,coach_years_at_school,coach_ncaa_games,coach_sweet16s,coach_finalfours,road_wins,road_losses,neutral_wins,neutral_losses,net_rank,quad1_wins,quad2_wins,tempo,opp_turnover_pct,opp_three_pt_pct,close_game_record,last10_win_pct,last10_adj_margin,avg_age,underclass_minutes_pct,freshman_minutes_pct,freshman_guard_minutes_pct,sophomore_minutes_pct,junior_minutes_pct,senior_minutes_pct,returning_starters,returning_minutes_pct,primary_guard_experience_score,backcourt_experience_score,frontcourt_experience_score,bench_minutes_pct,bench_points_pct,injury_flag,star_player_flag,chicago_guard_count,nyc_guard_count,indiana_guard_count,texas_big_count,southern_big_count,west_coast_wing_count,local_site_player_count,host_state_player_count,wab,barthag,eff_fg_pct,opp_eff_fg_pct,adj_offense_pctile,adj_defense_pctile,adj_margin_pctile,turnover_pct_pctile,off_rebound_pct_pctile,def_rebound_pct_pctile,ft_pct_pctile,scoring_balance,neutral_win_pct,road_win_pct,road_neutral_win_pct,defense_score,efficiency_score,guard_play_score,clutch_score,rebounding_score,region_bias_score,committee_alignment_score,model_vs_committee_gap,pbp_composite,contender_score,upset_risk_score,expected_round,predicted_seed_line,title_darkhorse_flag,fraud_favorite_flag,dangerous_low_seed_flag,underseeded_flag,overseeded_flag,model_rank
2026,Houston,14,28,114,0.824,32.0,11.93,77.1,62.9,77.2,34.5,41.6,26.6,36.0,31.0,12.7,124.5,92.5,,,,,,,,,,5.0,,,64.4,21.4,31.5,0.429,0.6,7.5,,,,,,,,,,,,,,,,,,,,,,,,,7.9,0.9684,52.3,46.9,3.6986301369863015,18.63013698630137,1.643835616438356,15.205479452054796,5.616438356164384,36.16438356164384,6.986301369863014,,0.5,0.5,0.5,76.4,91.5,68.2,63.1,84.8,50.1,95.0,-3.5,50.0,77.0,24.7,Final Four,1,False,False,False,False,False,1
2026,Arkansas,13,25,13,0.758,25.8,12.28,90.1,80.2,74.7,38.3,33.4,36.5,32.2,31.7,12.3,127.1,101.3,,,,,,,,,,17.0,,,72.1,16.1,31.5,0.778,0.8,4.1,,,,,,,,,,,,,,,,,,,,,,,,,5.8,0.9312,56.7,51.5,1.36986301369863,29.315068493150687,4.657534246575342,13.835616438356164,26.027397260273972,27.671232876712327,24.10958904109589,,0.5,0.5,0.5,69.9,88.6,69.0,77.5,77.9,50.1,93.7,-5.1,50.0,76.7,22.4,Final Four,2,True,False,False,False,False,2
2026,Alabama,13,23,4,0.719,27.5,14.45,91.7,83.5,76.5,35.9,53.9,37.1,32.3,33.0,13.2,129.8,102.3,,,,,,,,,,18.0,,,73.9,12.7,33.3,0.667,0.6,3.4,,,,,,,,,,,,,,,,,,,,,,,,,6.9,0.9394,55.6,49.1,0.821917808219178,32.19178082191781,2.4657534246575343,18.356164383561644,25.205479452054796,15.479452054794521,11.095890410958905,,0.5,0.5,0.5,64.7,89.9,68.9,76.7,83.0,50.1,91.6,-1.7,50.0,76.5,23.3,Final Four,2,True,False,False,False,False,3
2026,UCLA,13,23,326,0.676,21.2,11.55,77.7,71.0,76.7,38.2,35.4,33.3,31.3,32.1,13.5,122.9,101.7,,,,,,,,,,31.0,,,65.5,18.1,31.2,0.75,0.5,-2.4,,,,,,,,,,,,,,,,,,,,,,,,,2.9,0.8984,54.0,50.4,5.47945205479452,30.82191780821918,7.260273972602739,20.54794520547945,32.465753424657535,22.465753424657535,9.863013698630137,,0.5,0.5,0.5,72.8,85.9,70.1,76.1,76.3,50.1,87.7,-1.8,50.0,76.2,22.8,Final Four,2,True,False,True,False,False,4
2026,Georgia,10,22,100,0.688,20.3,8.93,89.8,79.2,75.4,34.5,43.5,36.9,35.2,35.2,14.3,124.1,103.8,,,,,,,,,,33.0,,,72.9,18.4,33.4,0.75,0.5,-3.0,,,,,,,,,,,,,,,,,,,,,,,,,3.2,0.8865,55.0,50.0,4.657534246575342,39.178082191780824,7.9452054794520555,25.068493150684933,8.904109589041095,6.027397260273973,17.671232876712327,,0.5,0.5,0.5,69.6,84.0,63.6,73.2,92.6,50.1,84.6,-0.6,50.0,75.5,26.2,Final Four,3,True,False,True,False,False,5
2026,Vanderbilt,11,26,338,0.788,27.1,11.36,86.7,74.9,78.9,35.4,43.9,38.4,31.3,30.3,13.6,125.2,98.1,,,,,,,,,,13.0,,,70.5,18.0,31.4,0.5,0.6,2.2,,,,,,,,,,,,,,,,,,,,,,,,,5.9,0.943,55.6,48.5,2.6027397260273974,23.835616438356162,3.4246575342465753,20.958904109589042,32.465753424657535,42.6027397260274,1.5068493150684932,,0.5,0.5,0.5,70.9,89.6,69.3,70.9,70.1,50.1,92.9,-3.3,50.0,75.1,23.8,Final Four,2,False,False,False,False,False,6
2026,St. John's,18,28,291,0.824,23.4,10.84,81.6,70.0,72.7,33.8,33.9,42.5,35.9,30.1,14.7,118.8,95.4,,,,,,,,,,15.0,,,70.8,19.4,31.9,0.75,0.9,9.8,,,,,,,,,,,,,,,,,,,,,,,,,5.7,0.9252,51.0,47.7,12.876712328767123,20.82191780821918,5.7534246575342465,29.863013698630137,6.438356164383562,46.986301369863014,49.86301369863014,,0.5,0.5,0.5,71.2,87.8,55.0,67.4,79.8,50.1,94.2,-6.4,50.0,73.0,28.2,Final Four,2,False,False,False,False,False,7
2026,Michigan,19,31,176,0.939,37.9,14.54,87.3,68.9,74.6,36.5,42.2,39.0,36.0,28.1,16.9,128.3,90.4,,,,,,,,,,2.0,,,72.7,15.8,29.6,0.778,0.9,9.2,,,,,,,,,,,,,,,,,,,,,,,,,12.8,0.9825,58.7,44.2,1.095890410958904,17.80821917808219,0.273972602739726,60.95890410958904,5.616438356164384,68.4931506849315,25.205479452054796,,0.5,0.5,0.5,62.1,93.0,56.2,69.6,73.7,50.1,98.2,-5.2,50.0,72.6,27.6,Final Four,1,False,False,False,False,False,8
2026,McNeese State,19,28,169,0.848,10.2,-2.03,80.0,66.5,74.7,31.1,35.4,38.8,35.0,35.9,14.2,113.5,103.3,,,,,,,,,,56.0,,,67.2,24.7,32.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,0.7453,51.1,49.0,23.28767123287671,36.84931506849315,22.73972602739726,24.10958904109589,9.863013698630137,3.0136986301369864,24.10958904109589,,0.5,0.5,0.5,74.2,66.8,58.2,87.0,90.2,50.1,74.8,-8.0,50.0,72.6,27.4,Final Four,4,True,False,True,False,False,9
2026,Arizona,16,32,11,0.941,34.0,12.58,86.1,68.8,73.4,35.3,26.9,42.9,38.4,26.2,15.2,124.8,90.8,,,,,,,,,,3.0,,,71.3,16.9,31.2,0.714,0.9,9.6,,,,,,,,,,,,,,,,,,,,,,,,,11.6,0.975,55.0,44.6,3.287671232876712,18.08219178082192,0.821917808219178,34.657534246575345,1.36986301369863,80.82191780821918,40.821917808219176,,0.5,0.5,0.5,62.6,92.3,57.9,68.7,71.2,50.1,97.7,-5.4,50.0,72.3,27.6,Final Four,1,False,False,False,False,False,10
2026,Kansas,12,23,133,0.697,25.0,14.87,75.6,69.4,76.7,35.4,35.7,31.6,29.4,30.2,15.6,118.8,93.8,,,,,,,,,,21.0,,,68.5,13.8,30.0,0.857,0.5,-3.6,,,,,,,,,,,,,,,,,,,,,,,,,5.9,0.9381,52.5,45.1,12.876712328767123,20.0,5.205479452054795,41.64383561643836,48.63013698630137,45.06849315068493,9.863013698630137,,0.5,0.5,0.5,65.4,88.9,62.5,73.4,61.6,50.1,90.1,-1.2,50.0,72.2,25.7,Final Four,2,True,False,True,False,False,11
2026,Illinois,15,24,119,0.75,33.3,11.9,84.4,69.8,78.9,34.9,50.9,33.3,39.1,26.9,13.4,131.1,97.8,,,,,,,,,,8.0,,,66.7,11.7,31.7,0.143,0.5,10.5,,,,,,,,,,,,,,,,,,,,,,,,,6.9,0.9665,55.0,47.5,0.273972602739726,23.56164383561644,1.36986301369863,19.863013698630137,0.821917808219178,76.84931506849315,1.5068493150684932,,0.5,0.5,0.5,58.0,91.2,68.7,60.4,72.7,50.1,92.1,-0.9,50.0,71.4,29.2,Final Four,2,False,False,False,False,False,12
2026,Wisconsin,14,24,359,0.706,23.2,12.45,83.0,75.9,78.60000000000001,36.3,51.8,32.9,29.7,27.3,12.9,125.0,101.8,,,,,,,,,,25.0,,,70.0,14.5,33.6,0.714,0.7,5.1,,,,,,,,,,,,,,,,,,,,,,,,,4.2,0.9137,54.7,51.3,3.0136986301369864,31.232876712328768,6.027397260273973,15.616438356164384,46.16438356164384,72.46575342465754,2.8767123287671232,,0.5,0.5,0.5,54.1,87.4,71.8,81.5,52.9,50.1,91.7,-4.3,50.0,71.3,24.1,Final Four,2,True,False,True,False,False,13
2026,Duke,17,32,74,0.941,36.7,12.43,82.3,63.1,72.39999999999999,35.3,44.2,37.9,37.2,24.9,15.5,126.8,90.1,,,,,,,,,,1.0,,,66.9,18.5,30.1,0.714,1.0,18.6,,,,,,,,,,,,,,,,,,,,,,,,,12.0,0.9808,57.4,45.8,1.643835616438356,17.534246575342465,0.547945205479452,40.0,3.8356164383561646,88.9041095890411,52.87671232876713,,0.5,0.5,0.5,63.7,92.6,54.1,65.1,67.3,50.1,98.2,-5.6,50.0,70.9,29.1,Final Four,1,False,False,False,False,False,14
