team,close_wins,close_losses,close_game_record,last10_win_pct,last10_adj_margin
Abilene Christian,1,0,1.0,0.25,-15.8
Akron,0,0,0.5,0.5,-4.0
Alabama A&M,2,0,1.0,1.0,5.8
Alabama,4,2,0.667,0.6,3.4
Alabama State,0,1,0.0,0.333,0.0
Albany St (GA),0,0,0.5,0.0,-16.0
Alcorn State,1,0,1.0,0.333,-26.0
American,0,0,0.5,0.667,-8.0
App State,0,1,0.0,0.667,11.7
Apprentice School Builders,0,0,0.5,0.0,-36.0
Arizona State,1,0,1.0,0.3,-13.0
Arizona,5,2,0.714,0.9,9.6
Arkansas,7,2,0.778,0.8,4.1
Arkansas State,0,0,0.5,1.0,17.0
Arkansas-Pine Bluff,0,1,0.0,0.25,3.5
Army,0,0,0.5,0.5,-22.5
Auburn,1,2,0.333,0.3,-5.9
Austin Peay,1,0,1.0,1.0,13.7
Brigham Young,6,2,0.75,0.4,-2.8
Ball State,1,0,1.0,0.5,-13.0
Baylor,0,2,0.0,0.0,-12.3
Bellarmine,0,1,0.0,0.333,-3.0
Belmont,1,0,1.0,1.0,7.5
Bethune-Cookman,1,2,0.333,0.333,-12.2
Binghamton,0,0,0.5,0.2,-6.0
Boise State,0,0,0.5,0.5,-2.5
Boston College,0,0,0.5,0.0,-15.5
Bowling Green,0,0,0.5,0.5,3.8
Bradley,0,0,0.5,0.0,-10.0
Brown,0,1,0.0,0.0,-13.5
Bryan (TN),0,0,0.5,0.0,-55.0
Bryant & Stratton (Ohio),0,0,0.5,0.0,-38.0
Bryant,0,0,0.5,0.0,-19.5
Bucknell,0,0,0.5,0.0,-48.0
Buffalo,0,1,0.0,0.0,-2.0
Butler,0,0,0.5,0.25,-10.0
Cal Poly,2,0,1.0,0.8,-3.6
Cal State Bakersfield,1,1,0.5,0.167,-15.7
Cal State Fullerton,2,1,0.667,0.8,4.6
Cal State Northridge,1,0,1.0,0.6,2.8
California Baptist,0,0,0.5,0.2,-10.6
California,0,0,0.5,0.333,-11.2
Campbell,1,1,0.5,0.5,-5.2
Campbellsville,0,0,0.5,0.0,-43.0
Canisius,0,1,0.0,0.5,1.5
Central Arkansas,1,0,1.0,0.5,-8.8
Central Connecticut,2,0,1.0,0.667,-4.0
Central State (OH) Marauders,0,0,0.5,0.0,-44.0
Charleston,1,1,0.5,0.667,4.3
Charleston Southern,0,0,0.5,1.0,39.3
Chattanooga,1,1,0.5,0.333,-5.0
Chicago State,0,2,0.0,0.4,5.4
Cincinnati,0,1,0.0,0.333,-3.9
Cleary University,0,0,0.5,0.0,-50.0
Clemson,4,3,0.571,0.6,1.6
Cleveland State,0,0,0.5,0.0,-20.0
Coastal Carolina,2,1,0.667,0.667,1.7
Coe Kohawks,0,0,0.5,0.0,-65.0
Colgate,0,0,0.5,0.0,-20.0
Colorado,0,2,0.0,0.125,-14.8
Colorado State,0,0,0.5,0.667,8.3
Columbia College (SC) Fighting Koalas,0,0,0.5,0.0,-44.0
Columbia,0,0,0.5,0.0,-22.0
Coppin State,0,1,0.0,0.0,-8.0
Cornell,0,0,0.5,0.333,-2.0
Creighton,0,1,0.0,0.375,-5.5
Dartmouth,1,0,1.0,0.5,6.2
Davidson,0,0,0.5,0.333,-7.3
Dayton,0,1,0.0,0.5,1.8
DePaul,1,0,1.0,0.2,-10.0
Delaware,1,0,1.0,0.333,-12.7
Delaware State,0,0,0.5,0.0,-26.0
Denver,1,1,0.5,0.6,1.0
Detroit Mercy,1,1,0.5,0.333,-9.0
Dominican (IL) Dominican,0,0,0.5,0.0,-81.0
Drake,0,0,0.5,0.0,-10.0
Drexel,0,1,0.0,0.333,-4.0
Duke,5,2,0.714,1.0,18.6
Duquesne,0,1,0.0,0.333,10.3
East Carolina,0,0,0.5,0.0,-40.5
East Tennessee State,0,0,0.5,0.0,-19.0
East Texas A&M,1,0,1.0,0.4,-7.6
Eastern Illinois,0,1,0.0,0.167,-20.3
Eastern Kentucky,0,2,0.0,0.0,-2.0
Eastern Michigan,0,0,0.5,0.0,-25.5
Eastern Washington,0,1,0.0,0.4,-3.4
Ecclesia Royals,0,0,0.5,0.0,-50.0
Elizabeth City State,0,0,0.5,0.0,-25.0
Elms College,0,0,0.5,0.0,-64.0
Elon,0,0,0.5,0.0,-12.0
Evansville,0,0,0.5,0.25,-13.5
Fairfield,1,0,1.0,0.667,-0.3
Fairleigh Dickinson,1,0,1.0,0.8,5.0
Florida A&M,0,1,0.0,0.75,8.8
Florida Atlantic,0,1,0.0,0.0,-13.0
Florida,2,4,0.333,0.9,14.1
Florida Gulf Coast,0,1,0.0,0.0,-22.0
Florida International,0,2,0.0,0.0,-3.0
Florida State,0,4,0.0,0.0,-6.3
Fresno State,0,0,0.5,0.0,-24.0
Gardner-Webb,0,0,0.5,0.0,-24.5
George Mason,1,0,1.0,1.0,17.0
George Washington,0,2,0.0,0.0,-6.0
Georgetown,0,3,0.0,0.0,-9.0
Georgia,3,1,0.75,0.5,-3.0
Georgia Southern,1,1,0.5,0.333,-6.0
Georgia State,1,1,0.5,0.667,2.3
Georgia Tech,0,0,0.5,0.0,-15.8
Gonzaga,1,0,1.0,0.8,13.1
Grambling,1,0,1.0,0.2,-15.6
Grand Canyon,0,0,0.5,1.0,10.0
Green Bay,0,1,0.0,0.429,-3.4
Hampton,1,0,1.0,0.75,5.8
Harvard,1,0,1.0,0.667,-4.7
Hawai'i,0,0,0.5,0.833,17.7
High Point,0,0,0.5,1.0,25.5
Hofstra,1,1,0.5,0.667,13.0
Holy Cross,0,0,0.5,0.0,-45.0
Houston Christian,1,0,1.0,0.25,-11.0
Houston,3,4,0.429,0.6,7.5
Howard,0,1,0.0,0.5,-1.2
IU Indianapolis,0,1,0.0,0.0,-10.0
Idaho State,1,0,1.0,0.4,-4.8
Idaho,0,1,0.0,0.25,-3.0
Illinois,1,6,0.143,0.5,10.5
Illinois State,0,0,0.5,1.0,19.7
Incarnate Word,1,2,0.333,0.2,-6.6
Indiana,1,0,1.0,0.2,-7.2
Indiana State,0,1,0.0,0.0,-16.3
Iona,1,0,1.0,0.6,0.2
Iowa,1,3,0.25,0.3,-1.6
Iowa State,4,1,0.8,0.6,9.2
Jackson State,1,0,1.0,0.143,-34.3
Jacksonville,0,0,0.5,0.0,-13.0
Jacksonville State,0,0,0.5,0.0,-7.0
James Madison,1,0,1.0,0.5,-5.0
Kansas City,0,0,0.5,0.0,-12.0
Kansas,6,1,0.857,0.5,-3.6
Kansas State,0,0,0.5,0.1,-12.8
Kennesaw State,0,1,0.0,0.333,13.7
Kent State,1,0,1.0,0.333,-14.7
Kentucky,0,0,0.5,0.0,-55.0
Kentucky,2,1,0.667,0.5,-2.3
Louisiana State,0,1,0.0,0.0,-15.5
La Salle,0,0,0.5,0.0,-38.0
Lafayette,0,1,0.0,0.0,-2.0
Lamar,0,0,0.5,0.5,-2.5
Le Moyne,1,1,0.5,0.5,-4.2
Lehigh,0,0,0.5,0.333,-11.0
Liberty,1,0,1.0,1.0,10.5
Lindenwood,1,1,0.5,0.5,-2.8
Lipscomb,1,0,1.0,0.5,-3.8
Little Rock,1,1,0.5,0.75,8.8
Long Beach State,0,1,0.0,0.0,-12.6
Long Island University,1,0,1.0,0.4,-9.8
Longwood,0,1,0.0,0.0,-6.0
Louisiana,0,0,0.5,0.0,-53.0
Louisiana,0,1,0.0,0.0,-11.7
Louisiana Tech,1,0,1.0,1.0,29.5
Louisville,2,4,0.333,0.6,6.1
Loyola,0,1,0.0,0.0,-17.5
Loyola,0,0,0.5,0.0,-24.5
Loyola Marymount,0,0,0.5,0.5,-4.0
Lyon Scots,0,0,0.5,0.0,-58.0
Maine,1,0,1.0,0.333,-10.0
Manhattan,0,0,0.5,0.0,-14.3
Manor College,0,0,0.5,0.0,-48.0
Marist,1,0,1.0,0.4,-6.8
Marquette,1,1,0.5,0.286,-9.0
Marshall,1,0,1.0,0.75,22.5
Maryland,1,0,1.0,0.333,-19.7
Maryland,0,0,0.5,0.0,-23.2
Massachusetts,1,1,0.5,0.333,-2.3
McNeese Cowboys,0,1,0.0,0.6,1.4
Memphis,0,0,0.5,0.0,-14.0
Mercer,0,1,0.0,0.333,-1.3
Mercyhurst,1,2,0.333,0.5,4.0
Merrimack,2,1,0.667,0.571,-4.3
Miami,5,1,0.833,0.9,6.9
Miami,1,2,0.333,0.333,-4.4
Michigan State,5,3,0.625,0.6,1.3
Michigan,7,2,0.778,0.9,9.2
Middle Tennessee,1,0,1.0,0.5,-4.0
Milwaukee,0,0,0.5,0.0,-13.2
Minnesota,0,0,0.5,0.0,-34.0
Minnesota,2,1,0.667,0.375,-6.6
Mississippi State,0,0,0.5,0.0,-23.7
Mississippi Valley State,0,0,0.5,0.0,-29.0
Missouri State,1,1,0.5,0.667,4.3
Missouri,3,2,0.6,0.4,-5.8
Monmouth,0,1,0.0,0.5,5.2
Montana,0,1,0.0,0.6,2.4
Montana State,1,2,0.333,0.6,5.2
Morehead State,2,0,1.0,0.6,-7.4
Morehouse Maroon,0,0,0.5,0.0,-9.0
Morgan State,0,0,0.5,0.0,-19.0
Mount St. Mary's,1,0,1.0,0.667,0.0
Murray State,2,0,1.0,1.0,3.0
North Carolina State,1,2,0.333,0.2,-10.9
NJIT,0,0,0.5,0.4,-11.6
Navy,0,0,0.5,0.0,-13.0
Nebraska,3,3,0.5,0.6,4.7
Nevada,0,0,0.5,0.0,-9.0
New Hampshire,0,0,0.5,0.333,-7.8
New Haven,0,1,0.0,0.4,-10.6
New Mexico,0,0,0.5,0.0,-50.0
New Mexico,0,0,0.5,1.0,50.0
New Mexico State,0,0,0.5,0.0,-9.0
New Orleans,2,0,1.0,0.6,-11.4
Niagara,0,1,0.0,0.0,-22.6
Nicholls,0,0,0.5,0.0,-23.0
Norfolk State,0,1,0.0,0.333,-5.3
North Alabama,0,1,0.0,0.333,-1.3
North Carolina A&T,1,0,1.0,0.333,-11.0
North Carolina Central,0,0,0.5,0.333,-18.3
North Carolina,7,2,0.778,0.6,-0.5
North Dakota,0,0,0.5,0.5,-2.8
North Dakota State,1,0,1.0,1.0,19.5
