season,team,conference,wins,losses,win_pct,adj_margin,strength_of_schedule,points_per_game,points_allowed_per_game,ft_pct,three_pt_pct,three_pa_rate,ft_rate,off_rebound_pct,def_rebound_pct,turnover_pct,adj_offense,adj_defense,coach,coach_years_at_school,coach_ncaa_games,coach_sweet16s,coach_finalfours,road_wins,road_losses,neutral_wins,neutral_losses,net_rank,quad1_wins,quad2_wins,tempo,opp_turnover_pct,opp_three_pt_pct,close_game_record,last10_win_pct,last10_adj_margin,avg_age,underclass_minutes_pct,freshman_minutes_pct,freshman_guard_minutes_pct,sophomore_minutes_pct,junior_minutes_pct,senior_minutes_pct,returning_starters,returning_minutes_pct,primary_guard_experience_score,backcourt_experience_score,frontcourt_experience_score,bench_minutes_pct,bench_points_pct,injury_flag,star_player_flag,chicago_guard_count,nyc_guard_count,indiana_guard_count,texas_big_count,southern_big_count,west_coast_wing_count,local_site_player_count,host_state_player_count,wab,barthag,eff_fg_pct,opp_eff_fg_pct
2024,Abilene Christian,10.0,16,18,0.471,-3.6,-1.12,72.1,73.5,72.7,34.1,26.4,37.9,25.9,30.4,17.7,101.0,104.6,,,,,,,,,,,,,69.4,20.2,32.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.1,0.4001,47.1,51.6
2024,Air Force,2.0,9,22,0.29,-5.4,1.43,66.2,72.4,68.2,36.1,47.2,29.6,23.8,31.5,18.8,105.6,111.0,,,,,,,,,,,,,62.9,17.6,36.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13.8,0.3615,53.8,54.2
2024,Akron,13.0,24,11,0.686,3.9,-2.08,73.6,66.2,72.7,31.7,41.6,32.7,29.2,25.6,16.9,105.7,101.8,,,,,,,,,,,,,66.6,16.7,30.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.6,0.6042,51.7,49.1
2024,Alabama,13.0,25,12,0.676,24.5,11.8,90.1,81.2,77.2,37.1,46.6,35.7,35.2,30.7,15.9,125.8,101.3,,,,,,,,,,,,,73.4,15.4,31.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,0.923,56.4,49.4
2024,Alabama A&M,9.0,12,23,0.343,-15.7,-7.52,69.0,75.8,72.2,28.7,26.9,47.2,31.8,32.7,22.4,93.5,109.2,,,,,,,,,,,,,71.4,19.4,35.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,-17.5,0.143,45.9,49.1
2024,Alabama State,8.0,13,19,0.406,-11.7,-6.87,68.6,69.4,72.3,28.0,38.4,28.5,31.7,29.1,16.3,92.6,104.3,,,,,,,,,,,,,68.1,20.0,34.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13.8,0.2033,41.0,49.1
2024,Albany,5.0,13,19,0.406,-6.6,-5.22,78.7,78.8,72.6,32.9,36.9,29.2,30.6,29.4,17.7,103.6,110.2,,,,,,,,,,,,,74.0,17.0,29.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13.9,0.3277,50.4,51.4
2024,Alcorn State,13.0,14,18,0.438,-11.1,-5.61,71.9,77.4,71.2,34.2,26.6,37.4,33.4,30.6,17.0,105.4,116.5,,,,,,,,,,,,,67.6,17.2,37.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.4,0.239,48.9,55.0
2024,American,10.0,16,16,0.5,-10.4,-8.79,68.8,68.0,72.2,34.7,44.9,28.4,27.9,25.6,17.3,103.2,113.6,,,,,,,,,,,,,63.8,17.0,36.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.5,0.249,52.5,53.4
2024,Appalachian State,16.0,27,7,0.794,7.5,-2.34,78.4,67.1,68.0,33.2,31.5,31.6,29.4,27.8,15.2,106.2,98.7,,,,,,,,,,,,,67.8,14.5,32.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.2,0.6987,52.7,45.4
