season,team,conference,wins,win_pct,losses,adj_margin,strength_of_schedule,points_per_game,points_allowed_per_game,ft_pct,three_pt_pct,three_pa_rate,ft_rate,off_rebound_pct,def_rebound_pct,turnover_pct,adj_offense,adj_defense,coach,coach_years_at_school,coach_ncaa_games,coach_sweet16s,coach_finalfours,road_wins,road_losses,neutral_wins,neutral_losses,net_rank,quad1_wins,quad2_wins,tempo,opp_turnover_pct,opp_three_pt_pct,close_game_record,last10_win_pct,last10_adj_margin,avg_age,underclass_minutes_pct,freshman_minutes_pct,freshman_guard_minutes_pct,sophomore_minutes_pct,junior_minutes_pct,senior_minutes_pct,returning_starters,returning_minutes_pct,primary_guard_experience_score,backcourt_experience_score,frontcourt_experience_score,bench_minutes_pct,bench_points_pct,injury_flag,star_player_flag,chicago_guard_count,nyc_guard_count,indiana_guard_count,texas_big_count,southern_big_count,west_coast_wing_count,local_site_player_count,host_state_player_count
2026,Abilene Christian,5,14,0.424,19.0,-7.18,-1.25,70.3,72.4,70.39999999999999,31.3,18.3,22.5,11.2,20.5,14.3,69.9,72.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,Air Force,0,3,0.094,29.0,-13.66,4.68,61.5,79.9,64.1,30.599999999999998,21.4,17.9,7.0,22.1,14.8,62.9,78.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,Akron,17,29,0.853,5.0,9.04,-3.33,88.4,73.5,75.4,37.9,28.8,17.7,11.4,26.7,10.9,87.4,74.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,Alabama,13,23,0.719,9.0,22.7,14.45,91.7,83.5,76.5,35.8,35.3,24.5,12.2,28.4,9.8,96.0,79.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,Alabama A&M,10,18,0.545,15.0,-12.99,-10.49,72.1,72.5,73.8,34.699999999999996,18.7,24.5,9.4,24.7,11.4,69.0,75.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,Alabama State,7,10,0.313,22.0,-14.21,-8.14,73.2,77.3,69.39999999999999,31.900000000000002,23.3,21.4,12.5,23.7,13.1,70.8,79.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,Albany,7,11,0.344,21.0,-13.92,-8.09,72.0,72.9,66.10000000000001,33.5,21.9,14.3,11.2,23.1,12.2,69.6,75.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,Alcorn State,7,9,0.281,23.0,-19.82,-6.54,66.9,80.2,70.8,33.300000000000004,19.1,18.1,9.4,20.8,13.6,64.9,82.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,American,9,16,0.5,16.0,-6.91,-6.21,74.6,71.3,75.1,33.300000000000004,27.0,17.2,9.7,22.1,10.6,72.7,73.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,Appalachian State,11,19,0.594,13.0,-3.77,-5.67,72.0,66.1,64.2,30.3,26.2,22.0,12.2,26.9,9.9,70.3,67.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,Arizona,16,32,0.941,2.0,29.92,12.57,86.1,68.8,73.4,36.0,16.3,26.1,12.8,29.8,10.8,89.9,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,Arizona State,7,17,0.515,16.0,10.79,12.79,76.3,78.3,75.3,33.4,22.2,22.8,10.2,23.0,12.1,80.1,74.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,Arkansas,13,26,0.765,8.0,22.43,12.57,89.9,80.1,74.7,38.9,21.4,23.4,11.0,25.1,9.0,93.7,76.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,Arkansas State,11,20,0.625,12.0,-0.65,-4.39,83.0,77.2,73.3,33.300000000000004,28.0,24.0,14.2,27.1,14.2,81.7,78.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,Arkansas-Pine Bluff,10,13,0.406,19.0,-14.79,-6.92,77.2,81.0,75.5,34.300000000000004,22.1,21.5,10.3,23.3,13.4,75.1,83.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,Army,5,11,0.344,21.0,-15.28,-7.14,72.2,77.2,71.5,32.4,32.7,15.7,11.8,23.7,11.9,70.1,79.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,Auburn,7,17,0.515,16.0,17.02,13.69,82.7,79.4,74.4,33.800000000000004,23.5,26.8,13.4,23.0,10.2,86.8,75.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,Austin Peay,15,22,0.71,9.0,-2.25,-6.7,81.6,73.2,74.3,35.9,23.4,22.7,10.7,24.8,10.8,79.6,75.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,Ball State,7,12,0.387,19.0,-9.58,-4.27,67.5,69.5,69.39999999999999,31.6,22.2,18.3,9.7,22.6,10.6,66.2,70.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
