season,team,avg_class,freshman_min_pct,sophomore_min_pct,junior_min_pct,senior_min_pct,underclass_min_pct,player_count
2015,Norfolk St.,2.990,17.6,0.0,48.1,34.3,17.6,13
2015,Western Michigan,2.645,21.4,22.6,25.9,30.0,44.1,15
2015,High Point,2.800,7.0,17.9,63.0,12.0,25.0,14
2015,Maryland Eastern Shore,3.145,12.0,6.1,37.3,44.6,18.1,12
2015,Mississippi,3.280,0.7,19.8,30.1,49.3,20.6,13
2015,Columbia,2.666,15.6,27.2,32.2,25.0,42.8,13
2015,San Diego St.,2.819,18.3,15.8,31.4,34.4,34.2,16
2015,Oakland,2.755,22.0,20.3,18.0,39.8,42.3,12
2015,UNC Greensboro,2.530,6.3,52.5,23.0,18.1,58.8,13
2015,Georgia,2.866,9.0,25.9,34.6,30.5,34.9,14
2015,Houston,2.694,9.2,14.5,74.0,2.3,23.7,13
2015,Howard,2.619,0.6,62.0,12.4,25.0,62.6,15
2015,Georgia Southern,3.023,28.5,6.1,0.0,65.4,34.6,14
2015,UTSA,2.829,31.0,3.4,17.2,48.3,34.4,14
2015,Little Rock,3.249,0.0,14.6,46.0,39.4,14.6,12
2015,Toledo,2.988,8.3,31.3,13.7,46.7,39.6,11
2015,Southeastern Louisiana,3.100,9.3,10.9,40.1,39.7,20.3,12
2015,Bethune Cookman,3.279,0.0,12.9,46.4,40.8,12.9,13
2015,Princeton,2.346,18.1,47.5,16.0,18.4,65.6,17
2015,Boston College,3.418,0.0,13.6,31.0,55.4,13.6,14
2015,UAB,1.971,35.5,40.3,15.8,8.4,75.8,13
2015,Colgate,3.509,5.1,5.7,22.2,66.9,10.9,15
2015,Arkansas,2.740,11.3,27.2,37.7,23.8,38.5,13
2015,Sacramento St.,3.253,2.3,23.0,21.9,52.9,25.3,14
2015,Long Beach St.,2.979,21.5,18.8,0.0,59.7,40.3,13
2015,Portland,2.879,20.4,18.3,14.3,47.0,38.7,13
2015,Northern Kentucky,2.716,16.2,15.7,48.4,19.7,31.9,15
2015,Arizona St.,2.887,15.9,13.1,36.1,34.6,28.9,15
2015,Providence,2.423,33.7,21.6,13.3,31.4,55.3,13
2015,UC Irvine,3.025,0.5,31.1,33.9,34.6,31.6,14
2015,Sacred Heart,2.840,22.8,13.2,21.4,42.7,35.9,12
2015,Georgetown,2.639,38.3,1.7,17.8,42.2,40.0,14
2015,Cal St. Bakersfield,3.006,10.1,13.7,41.6,34.6,23.9,11
2015,Northeastern,2.913,6.5,19.0,51.1,23.4,25.5,11
2015,Florida Atlantic,2.585,22.3,20.7,33.2,23.8,43.0,13
2015,Stanford,2.959,21.9,11.0,16.4,50.7,32.9,14
2015,Kansas St.,2.622,8.6,47.1,17.6,26.7,55.8,14
2015,Connecticut,2.304,17.9,50.1,14.2,17.4,68.0,14
2015,UC Davis,3.249,0.1,27.1,20.6,52.2,27.2,12
2015,Loyola Marymount,2.860,11.0,26.8,27.3,34.9,37.9,14
2015,Kent St.,3.329,1.3,16.4,30.4,51.9,17.7,13
2015,North Texas,3.138,14.9,8.3,24.8,51.9,23.3,13
2015,Arkansas Pine Bluff,2.766,1.0,30.7,59.1,9.2,31.7,16
2015,Colorado St.,3.322,0.0,14.2,39.4,46.4,14.2,12
2015,Northern Illinois,3.032,6.1,26.2,26.0,41.7,32.4,11
2015,UT Arlington,2.542,31.3,21.2,9.5,38.0,52.5,14
2015,Buffalo,2.737,15.7,17.3,44.8,22.3,32.9,11
2015,Wisconsin,3.077,1.0,36.7,15.8,46.5,37.7,13
2015,Morehead St.,3.196,9.9,12.1,26.6,51.5,22.0,14
2015,San Diego,3.025,15.8,11.9,26.1,46.1,27.8,15
2015,Memphis,2.433,10.6,42.3,40.3,6.8,52.9,13
2015,Campbell,2.594,24.4,21.7,23.8,30.0,46.2,11
2015,New Mexico St.,2.627,32.6,19.7,0.0,47.7,52.3,12
2015,Cal St. Fullerton,3.181,6.6,20.7,20.5,52.1,27.3,12
2015,Illinois,2.753,7.6,47.0,7.9,37.5,54.5,13
2015,Maryland,2.540,38.4,7.9,14.9,38.8,46.3,14
2015,American,3.227,1.4,19.6,33.9,45.1,21.0,13
2015,Bryant,2.757,19.0,21.4,24.5,35.1,40.4,13
2015,Wake Forest,2.221,42.4,1.9,46.9,8.8,44.3,18
2015,Dayton,2.540,9.3,45.1,27.6,17.9,54.4,13
2015,Cal Poly,3.112,3.3,11.9,55.2,29.6,15.2,13
2015,Xavier,2.566,23.5,25.8,21.5,29.3,49.2,15
2015,Detroit Mercy,2.590,19.6,28.0,26.3,26.1,47.5,11
2015,Loyola MD,2.293,38.4,6.5,42.6,12.6,44.9,14
2015,South Alabama,2.245,31.5,26.9,27.1,14.5,58.4,12
2015,TCU,2.752,5.3,51.8,5.4,37.5,57.1,15
2015,Purdue Fort Wayne,3.252,0.1,17.6,39.4,42.9,17.7,13
2015,Kennesaw St.,3.076,5.7,3.5,64.2,25.6,9.2,15
2015,Oklahoma St.,2.990,20.8,4.3,30.1,44.8,25.1,16
2015,Auburn,3.200,9.5,11.3,29.2,50.1,20.7,15
2015,Saint Mary's,3.284,18.3,8.3,0.0,73.4,26.6,11
2015,Ball St.,2.179,31.1,37.4,14.2,17.4,68.4,12
2015,Washington St.,2.691,13.0,38.4,15.1,33.5,51.4,12
2015,Seattle,3.103,10.7,21.2,15.1,53.0,31.9,12
2015,Northwestern,2.200,39.8,15.1,30.4,14.7,54.9,13
2015,Arizona,2.481,23.3,21.9,38.4,16.5,45.1,14
2015,West Virginia,2.361,28.1,30.1,19.4,22.4,58.2,16
